city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Adilabad,2,1,0,284.3312554782722,0.2915099521404466,6.286309962363951,4.971366878461279,16,55.77734375,False
Agar,0,1,0,310.94972296815905,0.7063246351172048,5.578978401105349,3.875,16,105.984375,False
Agra,0,1,1,350.33764888177024,-0.07873795359166347,11.271685356517759,7.537376996936432,16,117.77734375,False
Ahmadnagar,2,1,2,309.8760396646526,0.5563613307551454,4.002438640661893,3.158112353871819,16,36.109375,False
Aizawl,1,1,0,277.6184323103018,-1.8727084035874992,8.87805929375514,6.390614255956278,16,27.4375,False
Ajmer,0,1,2,334.4056397855049,0.45414891074564323,8.156192081606301,6.454978056140615,16,121.87109375,False
Akola,0,1,0,285.71648470777154,-0.04327601960295713,7.00446286306095,5.9375,16,47.02734375,False
Alappuzha,1,1,1,261.4799478943534,-0.14399580829832415,3.2639639956314075,2.3966909259410096,16,9.3125,False
Aligarh,0,1,0,339.165454059588,-0.040105540897097613,11.098986440211556,8.6875,16,118.4375,False
Alirajpur,0,1,0,296.2879223661721,0.3137089991589571,7.78219120813669,5.9375,16,88.24609375,False
Allahabad,0,1,0,338.9071210646929,-0.04104380886546277,11.882234638316145,8.1875,16,135.62109375,False
Almora,0,1,0,331.49216519189554,0.04020259575815133,6.882949948968102,5.5,16,49.359375,False
Alwar,0,1,0,319.6320261653926,0.10493768433070116,12.12435565298214,8.375,16,164.234375,False
Ambala,0,1,2,328.33848443518997,-0.09880413505173147,9.333288441295357,5.926312287416845,16,79.27734375,False
Amethi,0,1,1,327.6581317098221,0.31646789147604704,7.069130444872154,4.866717145935235,16,73.109375,False
Amravati,1,1,2,297.6587148314098,-0.21160362450405645,6.765439129253597,5.323737789754073,16,37.77734375,False
Amreli,0,1,0,314.26107848704754,0.36197773356474616,7.673004626611403,5.5,16,92.27734375,False
Amritsar,0,1,2,314.73127044404634,-0.29287313263345705,3.9790257085228165,3.6392250492196325,16,12.24609375,False
Anand,0,1,1,308.74443957256057,0.6889593780945836,5.108525930180058,3.691335408313612,16,83.90234375,False
Anantapur,0,1,0,318.22348671241764,0.1459731543624161,9.76921184128996,7.1875,16,111.75,False
Anantnag,2,1,2,322.96597862213787,-0.31993315256225063,17.001770626092323,13.376425238582664,16,218.99609375,False
Anugul,2,1,1,291.9308074091381,0.11225155133328402,6.009725221484707,5.316535558886197,16,40.68359375,False
