city,in_study_set,n_train_cities,n_test_rows,r2,rmse,mae
Adilabad,False,542,61,0.8756397342837747,4.097397671551177,3.096278190612793
Agar,False,542,61,0.9430416085470961,4.742124352828124,3.3461523056030273
Agra,False,542,61,0.8586809476967822,7.386953203907464,5.349591255187988
Ahmadnagar,False,542,61,0.9083223166132841,4.748305168956505,3.5773282051086426
Aizawl,False,542,61,0.6704240633485979,2.1340544162451343,1.1689181327819824
Ajmer,False,542,61,0.888663839434213,6.205024332372278,4.6590704917907715
Akola,False,542,61,0.8848004475668869,4.976988290630023,3.9945590496063232
Alappuzha,False,542,61,-0.13391835446417222,3.7068995300623624,2.979914426803589
Aligarh,False,542,61,0.8734429597070678,6.701723178921562,5.077770709991455
Alirajpur,False,542,61,0.9257351224681278,5.0707368129466035,3.880707263946533
Allahabad,False,542,61,0.8498379230152997,6.723139123237757,4.928366661071777
Almora,False,542,61,0.7667164325084789,6.837186548834575,4.95090913772583
Alwar,False,542,61,0.9492825769753339,4.912109180852382,3.9139516353607178
Ambala,False,542,61,0.8671773461842165,5.671992024877453,4.324095726013184
Amethi,False,542,61,0.836589195483497,4.972870659532132,3.8578860759735107
Amravati,False,542,61,0.8878687919787454,4.784841945991541,3.695610523223877
Amreli,False,542,61,0.8695743262451107,5.918768639217945,4.354572772979736
Amritsar,False,542,61,0.3681494851209016,5.275796094365408,4.049487113952637
Anand,False,542,61,0.9140860157227596,5.251603381228486,3.538562536239624
Anantapur,False,542,61,0.49559825842873806,7.34886556161729,5.777570724487305
Anantnag,False,542,60,0.8381191641000859,6.123255267087758,4.722455978393555
Anugul,False,542,61,0.8105962394456387,3.9906755484513914,2.921273708343506
Anuppur,False,542,61,0.877334130947312,5.24724615623482,3.195798397064209
Araria,False,542,61,0.6842657357297077,4.958413558866581,3.684566020965576
Ariyalur,False,542,61,0.30699038468779416,5.814297633963913,4.710545063018799
Arong,False,542,61,-3.5989968507402077,7.420037293044812,6.937954425811768
Arwal,False,542,61,0.1136421746450279,6.513456939857133,5.035952091217041
Ashoknagar,False,542,61,0.9046005878760567,6.024026765214243,4.331404209136963
Auraiya,False,542,61,0.8467051333951587,7.371474894507973,5.45670223236084
Aurangabad,False,542,61,0.8949632507772676,5.190304101696818,3.9802048206329346
Azamgarh,False,542,61,0.8915689291822215,4.826971712606843,3.854013442993164
Badgam,False,542,61,0.8282707187197534,6.63909047067684,4.971348285675049
Bagalkot,False,542,61,0.8687112764664914,5.38574369262785,3.933973550796509
Bageshwar,False,542,61,0.7646136764182975,6.979009218480146,5.356764316558838
Baghpat,False,542,61,0.7705905173569405,5.879792875936704,4.439670085906982
Bahraich,False,542,61,0.8318889254256058,5.113800838407043,3.753720998764038
Baksa Duar,False,542,61,0.8222512437945725,5.88642259851438,4.478405475616455
Balaghat,False,542,61,0.8720247999506459,4.161394191179188,2.9979045391082764
Balangir,False,542,61,0.8335076617241814,3.091997054578555,2.2623443603515625
Baleshwar,False,542,61,0.6622652152506155,4.246560668540681,3.186873435974121
Ballia,False,542,61,0.8753773620129326,4.862461888181096,3.8616302013397217
Balod,False,542,61,0.8940506565722687,3.401818288526278,2.6313631534576416
Baloda Bazar,False,542,61,0.8653060047192093,4.765603987850707,3.338562488555908
Balrampur,False,542,61,0.8215001544059164,5.108264487436844,4.136923313140869
Banda,False,542,61,0.8355839771146456,7.779093125548571,5.139159679412842
Bangalore,True,542,68,0.6580741648861148,4.125411273220862,2.9743616580963135
Banka,False,542,61,0.8408483340385942,4.653766763571385,3.503880739212036
Bankura,False,542,61,0.9125583421463891,3.909275317731748,2.8964123725891113
Banswara,False,542,61,0.9299835309884178,5.425454313179177,3.964932918548584
Bara Banki,False,542,61,0.5754230288077532,5.679374843633933,3.974386692047119
Baramula,False,542,61,0.7278440530281179,7.16901894341785,5.700496196746826
Baran,False,542,61,0.9216111851172497,5.505378520816775,4.250592231750488
Barddhaman,False,542,89,0.8816534256428034,4.113779934380392,3.1209287643432617
Bareilly,False,542,61,0.6884641081014597,9.010811987052866,6.009739398956299
Bargarh,False,542,61,0.9324929129444562,2.7876492721207717,2.1399149894714355
Barmer,False,542,61,0.7712513841299038,8.387003481135448,6.582113742828369
Barnala,False,542,61,0.8668378039900417,6.9347253698030356,5.476436614990234
Barpeta,False,542,61,0.6628399738861587,2.7823301639461904,2.1878774166107178
Barwani,False,542,61,0.9491049341184228,4.459633658378607,3.253265857696533
Bastar,False,542,61,0.8000251381476009,3.8684149133269545,2.7586147785186768
Basti,False,542,61,0.8825593989203873,4.869771060458018,3.601396322250366
Baudh,False,542,61,0.8134164707509193,3.9608533500445433,2.8710622787475586
Begusarai,False,542,61,0.8666534080301053,4.311392158073566,3.3714969158172607
Belgaum,False,542,61,0.8448245180354257,5.337061929704761,3.3156728744506836
Bellary,False,542,61,0.6903859781122131,6.233425899913067,4.314408302307129
Betul,False,542,61,0.9184881949270253,4.680816972615777,3.5239675045013428
Bhabua,False,542,61,0.8820398506967382,4.6674199631647495,3.528662919998169
Bhadohi,False,542,61,0.849006721087347,6.26434510969186,4.227827072143555
Bhadrak,False,542,61,0.5183689575782227,4.616423206359534,3.5410971641540527
Bhagalpur,False,542,61,0.8292360594013337,5.0237252967229,3.7569820880889893
Bhandara,False,542,61,0.8746384652594275,4.425186480886992,3.38173246383667
Bharatpur,False,542,61,0.9064489356575661,6.181392545377524,4.763064384460449
Bharuch,False,542,61,0.9134288536563228,5.319638112888847,3.67543888092041
Bhavnagar,False,542,61,0.8407339759282032,5.147828223800103,3.8463919162750244
Bhilwara,False,542,61,0.90123832964697,6.340795270458212,4.761973857879639
Bhind,False,542,61,0.9043105105309321,5.795330325068637,4.535758018493652
Bhiwani,False,542,61,0.8956104973353862,6.121473581765739,4.609586238861084
Bhojpur,False,542,61,0.8757454193802388,3.8346033203992422,2.621302366256714
Bhopal,False,542,61,0.9249269568623071,5.0082036429490415,3.4250338077545166
Bid,False,542,61,0.9037121615160821,4.208777048620552,3.397707939147949
Bidar,False,542,61,0.8455322237487595,4.203058291902095,3.454925537109375
Bijapur,False,542,61,0.8960028199809192,5.129014652498274,3.6787004470825195
Bijnor,False,542,61,0.8315826875440753,6.648043879725661,4.994330406188965
Bikaner,False,542,61,0.7281154648081338,7.727383252745683,5.926766872406006
Bilaspur,False,542,61,0.866323939381089,4.650738212479876,3.4025211334228516
Bishnupur,False,542,61,0.5245439778468316,3.486711890205133,2.6622371673583984
Biswanath,False,542,61,0.8371433740871028,3.430215642840006,2.619591474533081
Bokaro,False,542,61,0.8880996340791173,4.117289880279497,3.2091689109802246
Bongaigaon,False,542,61,0.6497471370902395,2.8358382951183185,2.208110809326172
Budaun,False,542,61,0.7677267140296489,8.478700317255246,6.06687068939209
Buddha Gaya,False,542,61,0.5788030633380867,5.9649914796293535,4.49813175201416
Bulandshahr,False,542,61,0.8805714180816621,6.349939493206437,4.868069648742676
Buldana,False,542,61,0.8930139691706064,5.535391254053251,4.432882785797119
Bundi,False,542,61,0.9280837929127708,5.054577126101258,3.887845993041992
Burhanpur,False,542,61,0.9057454166458893,5.1257675340489595,3.753269672393799
Buxar,False,542,61,0.8607795578369581,4.982373065776704,3.9052436351776123
Chamba,False,542,61,0.8015224893629816,6.160132718328549,5.016152381896973
