city,in_study_set,n_train_cities,n_test_rows,r2,rmse,mae
Adilabad,False,542,61,0.8481169546140139,0.7054736749710567,0.5545377199767064
Agar,False,542,61,0.7118981186520026,0.6450444141487246,0.4868250612352714
Agra,False,542,61,0.8100763230316363,0.9864093185289732,0.7764044026859472
Ahmadnagar,False,542,61,0.6213151378684967,0.7574150408348878,0.5805172029088754
Aizawl,False,542,61,0.5423558244642163,1.011021178927171,0.7440786392962347
Ajmer,False,542,61,0.652974795580851,0.949008257154332,0.7154022717085042
Akola,False,542,61,0.8086808777798826,0.7412943149867132,0.5627934315165535
Alappuzha,False,542,61,-0.815983942436804,0.7113615966673213,0.5451210459724805
Aligarh,False,542,61,0.8998153195101808,0.7216366707365799,0.5431485348060484
Alirajpur,False,542,61,0.6529980093574257,0.5273143344281562,0.4101487144094999
Allahabad,False,542,61,0.8843078719102315,0.850737274382956,0.6303645087070151
Almora,False,542,61,0.9116059970367343,0.7397402610721563,0.5870150331590995
Alwar,False,542,61,0.8419241075091667,0.8074993481955682,0.6367987273169344
Ambala,False,542,61,0.9062986680806242,0.7853376413017672,0.5964538386610685
Amethi,False,542,61,0.9163818401898007,0.7880931367163895,0.5798352913778335
Amravati,False,542,61,0.8189494106553643,0.7547542343540071,0.6047163791343814
Amreli,False,542,61,0.5785479104581988,0.7096123824615732,0.5583076226906699
Amritsar,False,542,61,0.8978730030495735,1.2622388930406994,1.0157312174312403
Anand,False,542,61,0.5680842044500861,0.6510187052250619,0.5165922633937147
Anantapur,False,542,61,0.5726272029622794,1.023468204223559,0.7456796427242087
Anantnag,False,542,60,0.9332063152410829,0.7433929889674847,0.5678693962097168
Anugul,False,542,61,0.7722344142113735,0.9661880671371479,0.7480125990070281
Anuppur,False,542,61,0.8700244784654964,0.9284433316730978,0.6724638016497504
Araria,False,542,61,0.9070319383611484,0.8209404624821376,0.5970107406866355
Ariyalur,False,542,61,0.14959437088105632,0.9572613036614697,0.762346818017178
Arong,False,542,61,-1.9388579228581397,1.3658271132043784,1.247573408533315
Arwal,False,542,61,0.6403324067349487,1.6043919701174014,1.3350880982445887
Ashoknagar,False,542,61,0.7550110633081065,0.80612995198629,0.619452667236328
Auraiya,False,542,61,0.8378576850074954,0.9527044400133884,0.6886986654312884
Aurangabad,False,542,61,0.6520885190889538,0.7636869943380219,0.5832874235559681
Azamgarh,False,542,61,0.9085156304929299,0.7669945484138319,0.577087227242892
Badgam,False,542,61,0.9284608136573691,0.8701601842083311,0.6962803098021961
Bagalkot,False,542,61,0.5500997375748158,0.9767509734017301,0.674118648591589
Bageshwar,False,542,61,0.8639502324760533,1.198807291603753,0.9587107869567442
Baghpat,False,542,61,0.8931627084903442,0.9928362136685976,0.8138966669801806
Bahraich,False,542,61,0.9154431400297294,0.7592622572120362,0.59822096902816
Baksa Duar,False,542,61,0.899215325741729,0.7483317356496924,0.580913787591653
Balaghat,False,542,61,0.8853680929849228,0.7552714653267151,0.5683333787761748
Balangir,False,542,61,0.8895424300863646,0.6986922121117479,0.4826230283643379
Baleshwar,False,542,61,0.8632666634115972,0.6612553102580103,0.46990942407826924
Ballia,False,542,61,0.900545342506288,0.9142898253030368,0.6885209755819351
Balod,False,542,61,0.92420830195862,0.6074019433900869,0.4655444911268891
Baloda Bazar,False,542,61,0.8868518477595108,0.8119194022213175,0.5637327663234021
Balrampur,False,542,61,0.9208798176782104,0.7323811190418228,0.5988479614257813
Banda,False,542,61,0.857890847348593,0.9575888460131615,0.7395424702128427
Bangalore,True,542,68,0.4739140316543805,1.0170101222296495,0.7295322979197782
Banka,False,542,61,0.9112720393272826,0.7292107143614127,0.5620049961277696
Bankura,False,542,61,0.8988829438433179,0.6310740510281012,0.4653957929767546
Banswara,False,542,61,0.5321667278268565,0.6574953015701759,0.4975384634049216
Bara Banki,False,542,61,0.8751726838607701,1.079309460077284,0.8361032204549821
Baramula,False,542,61,0.8177334664579453,1.2071890621233325,0.857999469413132
Baran,False,542,61,0.7180447102621972,0.8886041112356796,0.6619769424688619
Barddhaman,False,542,89,0.8863969405049691,0.720365212977843,0.4914744473575207
Bareilly,False,542,61,0.891635909531562,0.8433801778701621,0.6282979120973682
Bargarh,False,542,61,0.8955312516750293,0.5916163395924131,0.45054096159387796
Barmer,False,542,61,0.406125262495325,1.214503283108499,0.8326390751072617
Barnala,False,542,61,0.8487036781604099,0.9631231734126573,0.7428417768634734
Barpeta,False,542,61,0.9470007453919477,0.5292246875064175,0.41065047842557323
Barwani,False,542,61,0.675124618431308,0.6412562975205619,0.5090778225758036
Bastar,False,542,61,0.8728999300198456,0.7354008324059808,0.5782849733946754
Basti,False,542,61,0.9024623154624525,0.7528678965764183,0.5520639888575822
Baudh,False,542,61,0.7723569224111956,0.9659281905604656,0.7480125990070281
Begusarai,False,542,61,0.8817660103086591,0.9118643858654358,0.7015394492227524
Belgaum,False,542,61,0.46753291696705335,0.7141413440878482,0.5766402885562086
Bellary,False,542,61,0.6540936921745191,0.9616380048684521,0.7211987104572234
Betul,False,542,61,0.7084941143497314,0.68657300200418,0.5624943029685099
Bhabua,False,542,61,0.8923544000645491,0.9266713022631287,0.6955699545438174
Bhadohi,False,542,61,0.9343120549424145,0.6444382750726507,0.49482093560891066
Bhadrak,False,542,61,0.9104217712936244,0.5584910985468861,0.44032475205718496
Bhagalpur,False,542,61,0.9024202238115046,0.8106890323402051,0.641254162397541
Bhandara,False,542,61,0.8795139849047523,0.7386859344398761,0.5649244527347755
Bharatpur,False,542,61,0.8029464979591386,1.0013686276409004,0.7743612820984888
Bharuch,False,542,61,0.561489434510157,0.7158761976587699,0.5257916247258422
Bhavnagar,False,542,61,0.4470224803969547,0.7685589300776141,0.6240869428290696
Bhilwara,False,542,61,0.5213584207300295,0.8189660288664514,0.6386254357509925
Bhind,False,542,61,0.8175678607063,1.0071538983613249,0.7425989307341027
Bhiwani,False,542,61,0.7732088054469486,1.2096139265741368,0.9845950267353994
Bhojpur,False,542,61,0.8249339297810195,0.9235771351669355,0.7285676737300686
Bhopal,False,542,61,0.731071622142691,0.7716735937955816,0.5714529944247888
Bid,False,542,61,0.7699104792927706,0.7254557395684448,0.5695349396252241
Bidar,False,542,61,0.7917448683289606,0.6368110529098396,0.50720082267386
Bijapur,False,542,61,0.7098938506401258,0.8926082704607006,0.678468216442671
Bijnor,False,542,61,0.8730391764958996,0.9124087507770714,0.7202840461105597
Bikaner,False,542,61,0.5380838653748783,1.5054396370655707,1.1828798262799372
Bilaspur,False,542,61,0.922690823120877,0.6962225492566126,0.5121302557773276
Bishnupur,False,542,61,0.6218763397896239,0.8898392609543198,0.7699087174212347
Biswanath,False,542,61,0.8456712923269079,0.6532713543454352,0.5119835650334594
Bokaro,False,542,61,0.9025628008852893,0.7433612643331489,0.52008258631972
Bongaigaon,False,542,61,0.9464278141615997,0.5320775041776128,0.41223398427494246
Budaun,False,542,61,0.8893478640124962,0.7870558337703565,0.6022139689961419
Buddha Gaya,False,542,61,0.8609067963117788,1.0810780743900195,0.8745669130419121
Bulandshahr,False,542,61,0.8658492406969935,0.8496897290964917,0.6198831089207385
Buldana,False,542,61,0.5499807094147688,0.9198509456475008,0.7246290238177191
Bundi,False,542,61,0.6992380650815253,0.8307286080191696,0.6196462725029618
Burhanpur,False,542,61,0.693755048153387,0.792816816619112,0.5882270375236138
Buxar,False,542,61,0.9171977852936509,0.8679751606318503,0.612532524984391
Chamba,False,542,61,0.9057152722001792,0.7875492848617033,0.6493791455128153
Chamoli,False,542,61,0.686796343426954,2.024237419333464,1.5462549387431532
Champawat,False,542,61,0.925844527872511,0.7461429031611243,0.6184144942486873
Chandauli,False,542,61,0.9288309371177736,0.7154441236804506,0.5154040915067075
Chandel,False,542,61,0.22482269915856323,0.6000817313312145,0.46223636064373086
Chandigarh,False,542,61,0.8897547212247962,0.9018598615289892,0.7082616024330014
Chandrapur,False,542,61,0.879957789860492,0.6763687611358906,0.5465142609643155
Chatra,False,542,61,0.6696717951295836,1.909243631701593,1.5229451351478451
Chennai,True,542,61,0.0028269515777388232,1.0774562753072323,0.86995581329846
Chhatarpur,False,542,61,0.8266337911007696,0.8965284177637964,0.6908855938520586
Chhindwara,False,542,61,0.9053412222286787,0.5679698831739536,0.4370801018886878
Chikmagalur,False,542,61,0.06149409655001237,0.9423865572087136,0.6806102252397384
Chitradurga,False,542,61,0.6215086947337047,0.8842150736737271,0.7227502729071945
Chittaurgarh,False,542,61,0.65547905496671,0.745348523718205,0.5720238232221759
Chittoor,False,542,61,0.791561429787194,0.8993018920797977,0.6631026533783458
Churachandpur,False,542,61,0.8921591074924441,0.6836797201084734,0.5158879639672452
Churu,False,542,61,0.6268656320964328,1.2523464744583155,0.9837068651543289
Coimbatore,False,542,61,-0.1343728992871951,0.9745394354026424,0.833449441878522
Cuddalore,False,542,61,-0.3899731173753227,0.82619591987163,0.6279449525426647
Cuttack,False,542,61,0.7574090010676953,0.750784195734403,0.590238639956615
Dadra,False,542,61,0.47287343470167564,0.5666877152735624,0.41790584501672945
Daman,False,542,61,0.49468640388516594,0.6705769324576387,0.512358024472096
Damoh,False,542,61,0.8808185080225569,0.755932812169463,0.5747160176761814
Darbhanga,False,542,61,0.9090754334234397,0.8436970746126131,0.6552595795178026
Darjiling,False,542,61,-0.08000641464217528,3.390391010956488,2.243397228053359
Darrang,False,542,61,0.9606894988043831,0.4792298233781097,0.3796314364573992
Datia,False,542,61,0.8068006351950737,0.8665557329607073,0.6577056071797356
Dausa,False,542,61,0.6107942744580307,1.283675332641136,1.0375638867987962
Dehradun,False,542,61,0.9036215043902704,0.8675719474744872,0.6885744438796748
Deoghar,False,542,61,0.8890559604484531,0.7075111256456533,0.5371794778792586
