city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Adilabad,1,1,1,894.9383747982795,0.08484144346625289,8.12859125873513,5.327732601792698,45,72.1995061728395,False
Agar,1,1,1,944.2473213804814,0.3309102518144361,6.663169062644281,5.225598883704664,45,66.35555555555557,False
Agra,0,1,1,1050.6771736020496,0.06458596562497898,20.874925447301347,16.882863009822493,45,465.8498765432098,False
Ahmadnagar,0,1,1,896.4832885494715,-0.10906476275397159,6.760747596925291,5.559213680188005,45,41.21283950617284,False
Aizawl,1,1,1,877.0880387602826,-0.205903196556541,13.190643379643777,9.894812261947779,45,144.28444444444446,False
Ajmer,2,1,1,1029.3097681439488,0.15246890443117467,13.414400026675645,9.047699613516032,45,212.318024691358,False
Akola,0,1,1,908.675586855688,-0.07268817873951594,7.124242915211221,5.2102688064896245,45,47.31555555555555,False
Alappuzha,1,1,1,738.0436275934015,-0.023392712470218013,5.736484624041934,4.4904389462778855,45,32.15506172839506,False
Aligarh,0,1,2,974.809749599202,0.25257436324591676,15.108902095353322,10.809133086259466,45,305.42024691358023,False
Alirajpur,0,1,2,930.9245353979261,0.18192880452990046,8.58514885326771,5.8477373441440905,45,90.0958024691358,False
Allahabad,1,1,1,1016.051512323259,0.37748657574179034,12.858969309419553,8.35070920401878,45,265.6217283950617,False
Almora,1,1,1,979.3975814756258,0.06860277308020302,16.85640078305566,13.418531347679389,45,305.0666666666666,False
Alwar,1,1,1,995.7012849380167,0.2175861435042319,14.11576171474954,10.580670594835976,45,254.66666666666663,False
Ambala,1,1,1,943.6500608409236,0.19829434090428055,15.711086662451498,11.43617037299553,45,307.8913580246914,False
Amethi,0,1,1,941.1524607597585,0.15767292862674087,14.479094758277494,11.035575938604767,45,248.88691358024687,False
Amravati,0,1,1,924.934203556328,-0.1329609344029612,7.710234696402312,5.008523558586022,45,52.47111111111111,False
Amreli,1,1,1,961.1268594678837,0.5133707199006539,10.925813773059208,8.96984904183797,45,245.30666666666664,False
Amritsar,2,0,2,968.8739296397106,-0.04783037895926978,10.02928421718533,5.453346982408148,45,95.99506172839509,False
Anand,2,1,1,962.0576101546116,0.24963091376485325,13.502484373047608,10.859048942075235,45,242.96987654320995,False
Anantapur,1,1,1,933.8782483991129,0.44361745114658246,8.534584376790775,5.945970689211869,45,130.91555555555556,False
Anantnag,2,1,1,1019.9221399204326,0.6073026144283884,14.105939711193821,9.335872812627652,45,506.69432098765435,False
Anugul,2,1,2,903.2448074362833,0.3953586528387669,11.707381768328245,9.366896810477131,45,226.68444444444447,False
Anuppur,1,1,1,959.9641341626877,-0.02426327607488976,14.50616055022924,10.435138906990327,45,205.44395061728392,False
Araria,2,1,1,913.1188309529341,0.13571521795769237,14.224114721628762,10.18086328092095,45,234.09580246913575,False
Ariyalur,2,1,2,845.38149062039,0.26419548344326993,3.8233471019854277,3.1450682840138025,45,19.866666666666664,False
Arong,1,1,1,499.8350099925904,-0.19275993155411952,5.526723402480273,3.2632435996082583,32,25.6083984375,False
Arwal,2,1,2,1064.9021537289168,-0.07303017370431064,9.302332628919805,6.130881215884813,45,80.64395061728396,False
Ashoknagar,0,1,1,983.7756768722877,0.35930693359309807,10.098889981393791,7.71469881892721,45,159.1832098765432,False
Auraiya,2,1,0,1013.8121505662518,0.18288262672844569,14.109730486357373,10.174246877241018,45,243.6424691358025,False
Aurangabad,2,1,1,1046.6602037541866,0.21575716724350225,14.65556945575541,9.773263691628049,45,273.8765432098765,False
Azamgarh,2,1,2,981.6502713101227,0.15765782603524503,14.254691394806104,9.459905640374785,45,241.22765432098765,False
Badgam,2,1,1,1028.9761029849606,0.4476398790928353,17.607275235623195,10.656499432294027,45,561.2572839506173,False
Bagalkot,1,1,1,967.010150245407,0.19372597168044015,8.133283760171075,6.195174225198708,45,82.04444444444445,False
Bageshwar,1,1,1,1011.1638296423683,0.042901919113177533,17.087384855770253,13.39389221376957,45,305.0666666666666,False
Baghpat,2,1,1,1049.2415614545648,0.417429229213944,13.99259397538333,10.383084385836511,45,336.0839506172839,False
Bahraich,1,1,1,930.1374445182921,0.2775473910312394,13.21104487634931,10.096406059853578,45,241.58222222222224,False
Baksa Duar,2,1,2,931.103191083978,0.3651764716216501,9.390819458951244,7.38839440177817,45,138.91654320987652,False
Balaghat,0,1,1,914.2442566737602,-0.16109830570228634,12.468953048101191,8.419493442902105,45,133.90320987654323,False
