city,order_p,order_d,order_q,aic,r2,rmse,mae,n,variance,r2_undefined
Adilabad,0,1,1,414.92779908687515,0.6015002251437859,1.6384657425312996,1.2945253336730589,45,6.736691358024691,False
Agar,2,1,2,413.38860468828966,0.7536319484747512,1.3157228846783926,1.0447061094867818,45,7.0265876543209895,False
Agra,2,1,2,477.1835891747802,0.5978194628449219,2.111524496529318,1.7051204753505147,45,11.085906172839506,False
Ahmadnagar,2,1,2,424.8621971617562,0.739878390078903,1.3319269423139852,1.038539190078325,45,6.820000000000002,False
Aizawl,2,1,2,463.3001555749438,0.44467193763985546,1.8525787673567273,1.3160956522270648,45,6.180217283950617,False
Ajmer,1,1,1,479.9440292757613,0.6500746218037495,1.6236276434888668,1.313986299706987,45,7.533511111111112,False
Akola,1,1,1,400.757134985451,0.8031424844774295,1.2172008272110895,0.987506808904848,45,7.526143209876546,False
Alappuzha,1,0,0,262.32331599236335,0.11981081113009617,1.0710465862763716,0.8327785456879723,45,1.3032888888888887,False
Aligarh,2,1,2,421.2030540849035,0.699893083551983,1.5320866755896871,1.299705910741519,45,7.8215111111111115,False
Alirajpur,2,1,1,403.40967327193954,0.8014535974946357,1.1503969975493866,0.895599814351408,45,6.665511111111109,False
Allahabad,2,1,2,456.5498859463045,0.7794851359438668,1.6297221464931984,1.3215000476730674,45,12.044513580246912,False
Almora,2,1,2,399.08199063877873,0.41175463451119054,1.5498308826581173,1.1341587479458797,45,4.083288888888889,False
Alwar,2,1,2,438.2212469058387,0.676806146774015,1.475131296919748,1.1752133009278833,45,6.732839506172839,False
Ambala,2,1,2,425.57882632671885,0.533411491988641,1.6894238690766794,1.3097651606616016,45,6.117066666666667,False
Amethi,2,1,2,432.04875543239194,0.7186284181864802,1.5415158906042044,1.1747858756819978,45,8.445313580246912,False
Amravati,0,1,1,412.4490866128989,0.7973862528180585,1.2209737592882284,0.9806802527165707,45,7.357728395061725,False
Amreli,1,1,1,419.6076785803649,0.6984923893750228,1.0613702839341816,0.8178626067082571,45,3.736246913580245,False
Amritsar,0,1,1,521.8315905788885,0.5703745217294496,1.608062777362529,1.307442140227063,45,6.018883950617282,False
Anand,2,1,2,434.0492236456706,0.6597175414200345,1.5842875701945969,1.2476506016839004,45,7.376128395061726,False
Anantapur,0,1,1,426.5190216672254,0.6804369972372352,0.9833162520117764,0.7951969949596636,45,3.0257283950617295,False
Anantnag,2,1,2,436.5656209422085,0.7218831211075631,1.8722879193368427,1.5202706998107471,45,12.604276543209878,False
Anugul,2,1,0,415.00562923756314,0.6175412440040633,1.491938249705032,1.2547496559671765,45,5.81992098765432,False
Anuppur,2,1,0,431.03918324592087,0.633987999324506,2.1909782427170192,1.6787536798088887,45,13.115377777777779,False
Araria,0,1,1,389.64859367382746,0.7865472822934949,1.0147341372700696,0.8842976672355197,45,4.823950617283951,False
Ariyalur,1,1,1,429.39768156583887,0.3736459757051608,1.2877839483119806,0.9385855989628288,45,2.647683950617284,False
Arong,0,1,1,217.06473274127885,-0.07888557534560814,3.6954416755932633,1.2969532273484379,32,12.657773437500001,False
Arwal,0,1,1,534.4219366603154,0.7182345229568934,1.9201680344634147,1.546112351851634,45,13.085511111111108,False
Ashoknagar,1,1,1,445.2580382808632,0.7899899374053027,1.4689275437738705,1.0921132698279075,45,10.2744987654321,False
Auraiya,0,1,2,454.1634920854227,0.7938628652838196,1.4673465626683293,1.1696139625616735,45,10.445017283950618,False
Aurangabad,0,1,1,442.4721429790918,0.6882657986670918,1.5842204239017577,1.1429517761357608,45,8.050943209876543,False
Azamgarh,1,1,0,434.1257671289802,0.7655360894245644,1.67685816756418,1.3008018986585885,45,11.992691358024691,False
Badgam,2,1,2,495.25936745590207,0.37563124906617673,2.183717763972176,1.558259770468015,45,7.6375111111111105,False
Bagalkot,0,1,2,448.85102899601407,0.5630798508826333,1.371547658810836,1.0100489609571974,45,4.305461728395061,False
Bageshwar,2,1,0,468.1626477209443,0.5402899769065544,1.3700835118372605,1.0678746886239088,45,4.083288888888889,False
Baghpat,1,1,1,498.10281141182975,0.770849600384513,1.6241732242974165,1.2718733028042408,45,11.511822222222223,False
Bahraich,0,1,0,412.08072837579914,0.7018427152798614,1.5601281998605114,1.2377777777777779,45,8.163476543209875,False
Baksa Duar,0,1,0,307.5467594030117,0.7477376875301109,0.8167687011088951,0.657777777777778,45,2.644513580246913,False
Balaghat,0,1,1,423.92430874786896,0.6499513250826972,1.6284526792344498,1.2738128375364242,45,7.575683950617283,False
Balangir,0,1,2,361.7232765599772,0.673249273487768,1.4943495648347525,1.1768979646606357,45,6.834202469135803,False
Baleshwar,2,1,2,420.65714469499676,0.6297680145072556,1.4615120017484942,1.108714103877998,45,5.7694024691358035,False
Ballia,0,1,0,441.4010918186677,0.7829522885428826,1.5953404373710058,1.2955555555555556,45,11.726044444444446,False
Balod,0,1,0,403.6384226006322,0.598520555950808,1.7666666666666664,1.4111111111111108,45,7.774024691358022,False
Baloda Bazar,0,1,1,412.8666812529153,0.6454437062881879,1.7331204147379613,1.3527051412518212,45,8.471733333333333,False
