city,n_train_cities,n_test_rows,temp_r2,temp_rmse,temp_mae,hum_r2,hum_rmse,hum_mae,temp_variance,hum_variance,temp_r2_undefined,hum_r2_undefined,temp_test_unique_ratio,temp_test_max_run
Adilabad,551,179,0.8170317456187963,1.1654734302081722,0.8883453610232679,0.8985031621335053,6.8403555143638215,5.076150540367314,7.4238469461003085,461.0041509316189,False,False,0.4860335195530726,3
Agar,551,179,0.8806831856784466,1.012037211567593,0.7730169104043404,0.9057207805751994,6.395129289915936,4.913522827904928,8.584031709372367,433.79314003932467,False,False,0.5027932960893855,2
Agra,551,179,0.9487001365935541,1.4090620478804914,1.0042882825833943,0.7374020777788814,9.45660996521719,7.038056270444976,38.70294622514903,340.54904653412814,False,False,0.6368715083798883,2
Ahmadnagar,551,179,0.7265189952036439,1.050572602824129,0.8040924434449664,0.9203199263921087,5.89027052486074,4.647507188444836,4.035756686745108,435.4324147186417,False,False,0.39106145251396646,3
Aizawl,551,179,0.8645323171423607,1.4007578099205014,1.0154943873223572,0.8186015790956829,5.744120820302036,3.939395633420438,14.48406291938454,181.89201335788522,False,False,0.547486033519553,3
Ajmer,551,179,0.9318504839736679,1.2948883987932283,1.026025792432893,0.6564868524378558,10.722907597298587,7.120138124243903,24.603783901875723,334.7200774008302,False,False,0.5698324022346368,2
Akola,551,179,0.8360103558467729,0.9664198450141043,0.7438079035114107,0.9227846996566855,5.8721158185025955,4.548043393824094,5.695282294560096,446.5662120408227,False,False,0.441340782122905,3
Alappuzha,551,179,-0.143731025948312,0.8817689591013858,0.6912931380392132,0.0829876886896217,4.447310558892708,3.5569597914757045,0.6798071221247776,21.56849037171125,False,False,0.1787709497206704,3
Aligarh,551,179,0.9687290055064841,1.059104182429625,0.8203795138297941,0.7342617996804631,8.883905264827616,6.668585242301044,35.87035485783839,296.9982210293062,False,False,0.6815642458100558,2
Alipur,551,3,0.1625642300652197,0.5803751169300293,0.4754278111558013,-6.25756526415955,3.359991959286571,2.684068403918412,0.4022222222222225,1.5555555555555556,False,False,1.0,1
Alirajpur,551,179,0.8483557328468257,0.8689999455775368,0.6624356966349905,0.9034564699034642,6.663506304589005,4.90744261461219,4.979818357729159,459.9201647888642,False,False,0.40782122905027934,2
Allahabad,551,179,0.9457873297664477,1.2546104953953778,0.93703140327427,0.794960415768031,8.447808781633391,5.93815024612604,29.034679317124937,348.05705190225024,False,False,0.6759776536312849,2
Almora,551,179,0.9757294448433979,1.0973799512510576,0.8072143916509874,0.5942024778375545,10.3381672881032,7.7207160186797905,49.617437658000696,263.3769233170001,False,False,0.659217877094972,2
Alwar,551,179,0.967289939688233,1.0875424194327223,0.8159923211704647,0.6937088612056839,9.752109636333284,7.352324269399949,36.15855497643644,310.50079585531034,False,False,0.664804469273743,2
Ambala,551,179,0.9514471474107136,1.188400427015072,0.8555464056127238,0.8134515747240284,7.614896698527051,5.584630671520957,29.08779813364127,310.83967416747294,False,False,0.6424581005586593,3
Amethi,551,179,0.9554166207256681,1.102916925114437,0.8211054989056258,0.8119665027459737,7.8183304798960025,5.630843034510092,27.284287631472175,325.0819262819512,False,False,0.6536312849162011,3
Amravati,551,179,0.8457125781472933,0.9915756397434974,0.7822434883926038,0.9202788794717411,6.102861891160847,4.520183817911125,6.3726662713398445,467.19016260416345,False,False,0.44692737430167595,2
Amreli,551,179,0.8247276263959078,0.9692018151734635,0.7257502600068088,0.8353080337742435,8.526283743490964,6.41093209921893,5.359385162760214,441.4150619518742,False,False,0.4301675977653631,2
Amritsar,551,179,0.939540047417454,1.6574499751696532,1.2660330403853353,0.47463230555467506,6.5142131012376545,4.53212386012732,45.437356511969035,80.7719484410599,False,False,0.1564245810055866,4
Anand,551,179,0.8714542725293329,1.1638623834429673,0.8407256838930959,0.8018024565850627,8.106911307939706,5.69650607603919,10.537694828500983,331.5985144034206,False,False,0.46368715083798884,3
Anantapur,551,179,0.7927000081100285,0.9819716187124838,0.7479104569064889,0.7731185554715307,7.524871540004088,5.878423662779468,4.65155956430823,249.5739209138291,False,False,0.39106145251396646,3
Anantnag,551,178,0.9398510999375903,1.3062416541884663,1.0030918384041638,0.8298546004515406,8.18189446657129,5.879177467445729,28.367389218533017,393.44817573538694,False,False,0.6404494382022472,2
Anugul,551,179,0.869921908981294,1.199014427941618,0.9127595200807691,0.7022510737486569,7.653483675621515,5.553377867586488,11.052096376517587,196.72887862426265,False,False,0.5642458100558659,2
Anuppur,551,179,0.8707063998233254,1.3899525449291372,0.9935807140546012,0.808183844998738,8.885233654974293,6.127287652307791,14.942488062170344,411.57835273555753,False,False,0.5810055865921788,2
Araria,551,179,0.9570225332216156,0.9177396433292078,0.7319688704622094,0.8252745152079879,7.7958070184721295,5.471824742807001,19.597387097780967,347.82909397334663,False,False,0.6201117318435754,2
Ariyalur,551,179,0.30046761264829136,1.219102375959609,0.8976091002370346,0.24846767468212605,5.2435762545786115,4.021422765358741,2.124577260385131,36.585374988296245,False,False,0.0893854748603352,6
Arong,551,125,-0.7216989268875613,2.5655748970288568,1.0464082795489624,-0.02354407736268782,4.556906869165795,3.721905157690318,3.8230694399999994,20.287744000000004,False,False,0.216,2
Arwal,551,179,0.9025648982847847,1.7912008143369647,1.4238527829562755,0.5905972125767416,7.887087395533142,5.762962972099688,32.928588371149466,151.94363471801756,False,False,0.1787709497206704,5
Ashoknagar,551,179,0.9148576745119049,1.1688723921023287,0.8341126584718402,0.8341214077128558,8.20695886474885,6.0401120578399405,16.04680940045567,406.04500483755186,False,False,0.5586592178770949,2
Auraiya,551,179,0.9585461561738317,1.1531907965535266,0.859172405152966,0.7113814019141073,9.062156912458157,6.528921065834337,32.08023407509129,284.5370618894541,False,False,0.6368715083798883,3
