city,n_rows,temp_nunique,temp_unique_ratio,temp_max_run,temp_variance,hum_nunique,hum_unique_ratio,hum_max_run,hum_variance
Adilabad,180,88,0.4888888888888889,3,7.645846913580247,70,0.3888888888888889,3,458.7202469135803
Agar,180,91,0.5055555555555555,2,8.825772839506174,69,0.38333333333333336,2,432.15666666666675
Agra,180,115,0.6388888888888888,2,39.45798117283951,60,0.3333333333333333,2,338.7535802469136
Ahmadnagar,180,71,0.39444444444444443,3,4.157758024691358,65,0.3611111111111111,3,433.0141666666666
Aizawl,180,99,0.55,3,15.133739506172837,42,0.23333333333333334,13,186.4541666666667
Ajmer,180,102,0.5666666666666667,2,24.890809876543212,57,0.31666666666666665,2,333.7529320987654
Akola,180,80,0.4444444444444444,3,5.851610802469135,71,0.39444444444444443,2,444.42083333333335
Alappuzha,180,33,0.18333333333333332,3,0.7053839506172841,23,0.12777777777777777,3,22.217777777777783
Aligarh,180,123,0.6833333333333333,2,36.75711450617284,60,0.3333333333333333,2,295.34950617283954
Alipur,4,4,1.0,1,0.31500000000000006,4,1.0,1,2.5
Alirajpur,180,74,0.4111111111111111,2,5.182013580246913,65,0.3611111111111111,3,457.7458024691358
Allahabad,180,122,0.6777777777777778,2,29.568883950617288,61,0.3388888888888889,2,346.28098765432094
Almora,180,119,0.6611111111111111,2,50.835714506172835,58,0.32222222222222224,2,262.13194444444446
Alwar,180,120,0.6666666666666666,2,36.854955555555556,62,0.34444444444444444,2,308.7988888888889
Ambala,180,116,0.6444444444444445,3,30.12448024691358,66,0.36666666666666664,2,309.32256172839504
Amethi,180,118,0.6555555555555556,3,28.16212469135802,67,0.37222222222222223,3,323.2906172839506
Amravati,180,81,0.45,2,6.585555555555555,70,0.3888888888888889,2,464.7017283950617
Amreli,180,78,0.43333333333333335,2,5.6002774691358015,67,0.37222222222222223,2,438.96972222222223
Amritsar,180,28,0.15555555555555556,4,46.11171111111111,19,0.10555555555555556,15,80.50543209876544
Anand,180,84,0.4666666666666667,3,10.794143209876543,60,0.3333333333333333,3,329.76972222222224
Anantapur,180,71,0.39444444444444443,3,4.921617283950617,58,0.32222222222222224,4,250.96555555555554
Anantnag,179,114,0.6368715083798883,2,28.625822539870786,64,0.3575418994413408,3,391.73446521644144
Anugul,180,102,0.5666666666666667,2,11.584272839506168,51,0.2833333333333333,2,197.00033950617285
Anuppur,180,105,0.5833333333333334,2,15.444254320987655,67,0.37222222222222223,3,409.2941666666666
Araria,180,112,0.6222222222222222,2,20.329895061728397,66,0.36666666666666664,3,345.9610802469136
Ariyalur,180,17,0.09444444444444444,6,2.400865432098766,14,0.07777777777777778,5,40.755061728395056
Arong,126,27,0.21428571428571427,2,3.7951826656588556,22,0.1746031746031746,3,20.12673217435122
Arwal,180,33,0.18333333333333332,5,33.68543333333333,25,0.1388888888888889,7,153.08922839506175
Ashoknagar,180,101,0.5611111111111111,2,16.372608333333332,66,0.36666666666666664,2,404.7124691358025
Auraiya,180,114,0.6333333333333333,3,32.581475,59,0.3277777777777778,2,283.1270061728395
Aurangabad,180,70,0.3888888888888889,4,6.013011111111112,65,0.3611111111111111,3,500.85320987654325
Azamgarh,180,119,0.6611111111111111,3,32.10455895061729,63,0.35,3,329.81638888888887
Badgam,179,114,0.6368715083798883,2,28.97433663119129,68,0.37988826815642457,3,428.89978465091605
Bagalkot,180,78,0.43333333333333335,2,4.392813580246913,65,0.3611111111111111,3,364.9680246913581
Bageshwar,180,100,0.5555555555555556,2,13.674114506172838,66,0.36666666666666664,2,351.5661728395062
Baghpat,180,33,0.18333333333333332,4,39.820652777777774,38,0.2111111111111111,3,204.06469135802467
Bahraich,180,118,0.6555555555555556,2,29.642497222222218,61,0.3388888888888889,2,307.40358024691363
Baksa Duar,180,102,0.5666666666666667,2,15.41876388888889,56,0.3111111111111111,3,200.780987654321
Balaghat,180,90,0.5,2,8.921122222222222,61,0.3388888888888889,3,462.8114506172839
Balangir,180,95,0.5277777777777778,3,9.402077469135802,64,0.35555555555555557,2,348.6387654320988
Baleshwar,180,100,0.5555555555555556,2,13.16756635802469,54,0.3,3,238.21145061728396
Ballia,180,114,0.6333333333333333,3,31.75496635802469,68,0.37777777777777777,2,311.718024691358
Balod,180,85,0.4722222222222222,3,9.255030555555555,64,0.35555555555555557,3,397.66
Baloda Bazar,180,88,0.4888888888888889,3,9.387666666666668,71,0.39444444444444443,3,458.6646913580247
Balrampur,180,112,0.6222222222222222,2,28.881455555555558,68,0.37777777777777777,2,312.39070987654316
Banda,180,109,0.6055555555555555,2,29.77243209876543,54,0.3,2,309.99
Bangalore,199,17,0.08542713567839195,10,3.4316148582106507,22,0.11055276381909548,9,117.98681851468396
Banka,180,111,0.6166666666666667,2,21.58364320987654,65,0.3611111111111111,3,354.92033950617287
Bankura,180,103,0.5722222222222222,3,14.886211111111109,73,0.40555555555555556,4,470.7124691358025
Banswara,180,83,0.46111111111111114,2,5.826032098765432,70,0.3888888888888889,5,488.8129320987654
Bara Banki,180,33,0.18333333333333332,6,36.939476543209885,32,0.17777777777777778,5,164.34922839506177
Baramula,180,105,0.5833333333333334,3,21.05915895061728,70,0.3888888888888889,2,416.65589506172836
Baran,180,104,0.5777777777777777,2,18.21325432098765,61,0.3388888888888889,3,362.7203395061728
Barddhaman,256,101,0.39453125,4,15.604345550537108,67,0.26171875,4,447.19664001464844
Bareilly,180,103,0.5722222222222222,3,31.815109876543207,66,0.36666666666666664,2,478.29320987654313
Bargarh,180,90,0.5,2,8.413165432098765,63,0.35,2,377.39888888888885
Barjala,45,32,0.7111111111111111,3,6.620958024691357,27,0.6,3,151.71061728395063
Barmer,180,96,0.5333333333333333,2,20.932924691358025,59,0.3277777777777778,3,362.83194444444445
Barnala,180,123,0.6833333333333333,2,38.081425617283955,57,0.31666666666666665,4,340.71638888888884
Barpeta,180,94,0.5222222222222223,3,18.595739506172837,38,0.2111111111111111,5,102.3183950617284
Barwani,179,76,0.4245810055865922,2,4.5528916076277275,66,0.3687150837988827,3,490.80846415530107
Bastar,194,88,0.4536082474226804,3,8.062237485386333,66,0.3402061855670103,4,390.15838558826647
Basti,179,114,0.6368715083798883,2,30.675257950750602,64,0.3575418994413408,3,386.9302456227958
Baudh,180,98,0.5444444444444444,2,10.651447839506172,54,0.3,2,223.76972222222224
Begusarai,180,119,0.6611111111111111,2,29.394498765432097,61,0.3388888888888889,2,311.24617283950613
Belgaum,180,69,0.38333333333333336,2,3.251869135802469,58,0.32222222222222224,3,347.88700617283956
Bellary,180,78,0.43333333333333335,2,5.057933333333334,60,0.3333333333333333,3,315.8052777777778
Betul,180,83,0.46111111111111114,2,6.033188580246914,69,0.38333333333333336,2,462.26972222222224
Bhabua,180,114,0.6333333333333333,3,24.816475,63,0.35,2,318.7647839506173
Bhadohi,180,121,0.6722222222222223,3,26.488969135802463,62,0.34444444444444444,2,346.635061728395
Bhadrak,180,94,0.5222222222222223,3,12.886146913580246,53,0.29444444444444445,3,226.2566358024691
Bhagalpur,180,112,0.6222222222222222,3,24.716536728395063,64,0.35555555555555557,2,333.60555555555555
Bhandara,180,81,0.45,3,8.833307098765431,57,0.31666666666666665,3,289.51222222222225
Bharatpur,180,118,0.6555555555555556,3,41.776754320987656,65,0.3611111111111111,2,343.6781172839506
Bharuch,180,84,0.4666666666666667,3,6.084386111111112,69,0.38333333333333336,3,452.4995061728395
Bhavnagar,180,73,0.40555555555555556,2,6.851670061728394,57,0.31666666666666665,3,222.9622222222222
Bhilwara,180,95,0.5277777777777778,2,18.650517283950617,68,0.37777777777777777,2,362.11432098765437
Bhind,180,119,0.6611111111111111,2,33.48708487654321,60,0.3333333333333333,2,285.92033950617287
Bhiwani,180,119,0.6611111111111111,2,41.60633209876543,60,0.3333333333333333,3,279.2225617283951
Bhojpur,180,100,0.5555555555555556,3,16.634808333333332,55,0.3055555555555556,3,305.64580246913584
Bhopal,180,74,0.4111111111111111,4,10.685373765432098,59,0.3277777777777778,4,408.33320987654326
Bid,180,86,0.4777777777777778,2,6.219203395061728,65,0.3611111111111111,4,405.630987654321
Bidar,180,80,0.4444444444444444,2,5.746529320987654,67,0.37222222222222223,3,412.6069135802469
Bijapur,180,79,0.4388888888888889,2,4.947606172839507,66,0.36666666666666664,3,399.56108024691355
Bijnor,180,115,0.6388888888888888,2,28.20455895061729,62,0.34444444444444444,2,362.03765432098766
Bikaner,179,112,0.6256983240223464,2,40.56604350675697,52,0.2905027932960894,2,179.24796354670582
Bilaspur,180,101,0.5611111111111111,3,11.094919444444445,67,0.37222222222222223,3,422.6919444444444
Bishnupur,180,25,0.1388888888888889,4,21.361425617283953,29,0.16111111111111112,8,117.55737654320987
Biswanath,180,95,0.5277777777777778,2,11.05005061728395,61,0.3388888888888889,3,346.70404320987655
Bokaro,180,106,0.5888888888888889,3,17.616350617283953,70,0.3888888888888889,2,430.38083333333327
Bongaigaon,180,100,0.5555555555555556,2,17.75563302469136,63,0.35,4,316.9532098765432
Budaun,180,116,0.6444444444444445,3,35.56223950617284,65,0.3611111111111111,3,480.3572839506173
Buddha Gaya,180,56,0.3111111111111111,4,33.4827024691358,41,0.22777777777777777,6,170.96774691358024
Bulandshahr,180,106,0.5888888888888889,3,34.51477777777778,58,0.32222222222222224,3,387.3511111111111
Buldana,179,78,0.43575418994413406,3,5.0522199681657876,70,0.39106145251396646,3,470.3792016478887
Bundi,180,106,0.5888888888888889,3,20.05793333333333,63,0.35,2,321.373950617284
Burhanpur,180,81,0.45,2,5.767373765432098,70,0.3888888888888889,4,460.345524691358
Buxar,180,120,0.6666666666666666,2,29.512188580246914,62,0.34444444444444444,3,317.9907098765432
Calcutta,15,11,0.7333333333333333,2,11.2,7,0.4666666666666667,2,124.69333333333334
Chamba,180,115,0.6388888888888888,2,26.954322222222224,68,0.37777777777777777,2,402.09367283950627
Chamoli,180,114,0.6333333333333333,2,32.493875,72,0.4,2,534.0141666666666
Champawat,180,109,0.6055555555555555,3,24.139458024691358,57,0.31666666666666665,2,271.99416666666673
Chandauli,180,120,0.6666666666666666,2,27.1832774691358,64,0.35555555555555557,2,333.2517283950618
Chandel,180,54,0.3,2,1.7417765432098768,45,0.25,3,136.85416666666666
Chandigarh,180,105,0.5833333333333334,4,28.749846913580242,53,0.29444444444444445,3,262.1719444444444
Chandrapur,180,84,0.4666666666666667,2,8.558163888888888,64,0.35555555555555557,2,471.97589506172847
Chatra,180,52,0.28888888888888886,6,31.768521913580248,35,0.19444444444444445,6,123.79811728395063
Chennai,180,11,0.06111111111111111,5,1.729265432098765,10,0.05555555555555555,7,34.21885802469136
Chhatarpur,180,113,0.6277777777777778,2,20.494052777777778,65,0.3611111111111111,3,352.41283950617276
Chhindwara,180,83,0.46111111111111114,2,7.452566358024691,70,0.3888888888888889,3,422.36478395061727
Chikmagalur,180,53,0.29444444444444445,3,1.6729333333333336,56,0.3111111111111111,4,298.0252777777778
Chitradurga,180,68,0.37777777777777777,3,3.483833024691358,59,0.3277777777777778,2,357.3363888888889
Chittaurgarh,180,97,0.5388888888888889,2,17.190511111111114,66,0.36666666666666664,2,384.07194444444445
Chittoor,180,79,0.4388888888888889,2,6.076388580246915,35,0.19444444444444445,3,82.94061728395062
Churachandpur,180,107,0.5944444444444444,3,22.906044444444444,37,0.20555555555555555,6,138.64987654320987
Churu,180,113,0.6277777777777778,2,38.53448765432099,56,0.3111111111111111,2,221.54848765432098
Coimbatore,180,16,0.08888888888888889,5,2.4483811728395057,30,0.16666666666666666,4,174.58209876543208
